招聘岗位,企业名称,工作城市,工作区域,最低月薪_元,最高月薪_元,中位月薪_元,经验段,经验年限下限,经验年限上限,学历层级,AI标签列表,主要AI方向,岗位摘要,核心技能列表,招聘发布日期,发布月份
Python开发工程师,深圳市自来信息科技有限公司,深圳,宝安区,13000,18000,15500.0,3-5年,3,5,本科,机器学习,机器学习,负责爬虫开发、文本挖掘及推荐算法优化,Python、机器学习、推荐算法、数据挖掘、正则表达式、Git、Linux、Docker,2024-01-23 ,2024-01
产品经理,中国电信股份有限公司河北分公司,雄安新区,nan,8000,16000,12000.0,实习/应届,,,本科,人工智能,人工智能,负责智慧交通等产品设计与管理,Axure、Visio、Sketch、PRD文档、脑图、Office、智慧城市、智慧交通,2024-08-20 ,2024-08
数据分析师,南京金固建设（集团）有限公司,南京,鼓楼区,10000,15000,12500.0,1-3年,1,3,本科,神经网络、数据挖掘、大数据处理,大数据处理,数据分析与模型优化，解决市政行业问题,数据挖掘、神经网络、Python、SQL、Hive、SAS、SPSS、逻辑回归,2024-03-26 ,2024-03
产品实习生,广州同玩科技有限公司,广州,海珠区,2000,3000,2500.0,实习/应届,,,本科,数据挖掘,数据挖掘,负责产品调研、原型设计及数据分析优化产品策略,Axure、Mindmanager、Visio、用户需求分析、原型设计、数据分析、产品策略优化、跨部门协作,2024-02-18 ,2024-02
高级海外广告优化师,广州同玩科技有限公司,广州,海珠区,20000,35000,27500.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责海外广告投放策略优化与数据分析,数据分析、数据挖掘、广告投放策略、用户获取成本优化、广告素材优化,2024-03-29 ,2024-03
AI软件开发工程师,苏州同元软控信息技术有限公司,武汉,洪山区,20000,25000,22500.0,1-3年,1,3,硕士,机器学习、深度学习、AI产品、人工智能、强化学习,人工智能,负责AI产品开发与工业软件解决方案设计,工业软件AI解决方案、深度学习、机器学习、强化学习、AI技术应用、复杂系统建模、AI产品优化,2024-03-29 ,2024-03
电气工程师外协,上海兆沃智能科技有限公司,上海,浦东新区,15000,16000,15500.0,5-10年,5,,大专,机器人自动化,机器人自动化,负责自动化系统设计与电气控制调试,PLC编程、HMI设计、组态软件、低压电器、传感器应用、变频器、现场总线通讯,2024-11-20 ,2024-11
生产操作员,深圳市速腾聚创科技有限公司,汕尾,海丰县,5500,6500,6000.0,1-3年,1,,中专及以下,无人驾驶,无人驾驶,负责无人驾驶激光雷达及机器人生产操作,无尘车间操作、静电防护、两班倒适应、设备操作、团队协作,2024-08-14 ,2024-08
专业技术岗（信息化管理岗）,云南九九彩印有限公司,昆明,五华区,1000,2000,1500.0,3-5年,3,,本科,人工智能,人工智能,负责企业信息化管理与项目实施,企业信息管理师、信息化建设、项目管理、网络架构、数据库管理、软件开发、技术工具应用,2024-11-12 ,2024-11
商业AIGC产品经理（营销BOT方向）,百度在线网络技术（北京）有限公司,北京,海淀区,20000,40000,30000.0,3-5年,3,5,本科,AI产品,AI产品,负责AIGC营销对话产品策略及能力建设,LLM、NLP、数据分析、产品设计、逻辑思维、竞品分析、跨部门协作,2024-03-29 ,2024-03
销售助理,苏州纳磐新材料科技有限公司,苏州,苏州工业园区,5000,8000,6500.0,无经验要求,,,本科,数据挖掘,数据挖掘,负责销售后勤及客户数据分析工作,客户关系管理、数据分析、订单管理、沟通协调,2024-07-16 ,2024-07
设计实习生（直播）,北京三快在线科技有限公司,北京,朝阳区,4000,6000,5000.0,实习/应届,,,硕士,语音交互,语音交互,负责直播B端产品设计及用户体验优化,用户体验设计、视觉设计、团队协作、设计策略、产品设计,2024-04-28 ,2024-04
家居渠道经理,重庆紫寓商业管理有限公司成都分公司,成都,武侯区,5000,10000,7500.0,1-3年,1,3,大专,智能家居,智能家居,负责智能家居产品销售及市场推广,销售技巧、市场开拓、客户关系管理、团队协作、销售指标达成,2024-11-29 ,2024-11
网络维护工程师,中国电信股份有限公司安徽分公司,阜阳,,8000,16000,12000.0,实习/应届,,,本科,云计算,云计算,负责网络维护及云计算平台部署与管理,网络维护、云计算平台管理、IP网络技术、故障排除、通信原理、网络安全、云基础设施部署,2024-08-20 ,2024-08
云计算电话销售,概泽科技（杭州）有限公司,大连,,3500,6000,4750.0,1-3年,1,,大专,云计算,云计算,负责云计算销售及客户维护，提供解决方案,电话销售、客户维护、沟通能力、团队合作、抗压能力、云计算,2024-07-02 ,2024-07
产品经理,深圳市泊寓商业管理有限公司,深圳,南山区,15000,20000,17500.0,3-5年,3,5,本科,数据挖掘,数据挖掘,负责产品规划与业务流程优化，提升运营效率,业务流程优化、数据分析、项目管理、需求分析、数据敏感、数据分析工具,2024-02-01 ,2024-02
技术项目经理,黑芝麻智能科技有限公司,武汉,青山区,20000,35000,27500.0,3-5年,3,5,本科,人工智能,人工智能,负责项目全流程管理及跨部门协作,项目管理、跨部门协作、资源协调、项目进度控制、团队协作、抗压能力,2024-01-22 ,2024-01
资本市场主管/专员（应届生）,多弗国际控股集团有限公司,北京,朝阳区,15000,30000,22500.0,1-3年,1,,本科,人工智能,人工智能,协助资本运营及人工智能领域研究,数据分析、风险评估、战略决策支持、资本配置、项目执行、沟通协调、团队合作,2024-09-04 ,2024-09
Lidar SLAM算法工程师（室内机器人）,上海瑾讯微信息技术有限公司,北京,昌平区,50000,80000,65000.0,3-5年,3,5,硕士,机器人自动化,机器人自动化,负责室内Lidar SLAM算法研发与多传感器融合,C/C++、Python、G2O、Ceres、ROS、多传感器融合、图优化、非线性优化,2024-03-21 ,2024-03
售前工程师,中国软件与技术服务股份有限公司,长沙,岳麓区,8000,16000,12000.0,5-10年,5,,本科,云计算,云计算,负责客户交流、方案咨询及招投标工作,云计算、大数据、数据中心、网络、存储、安全、软件架构,2024-11-04 ,2024-11
算法主任工程师（X光）,广东正业科技股份有限公司,东莞,松山湖区,25000,40000,32500.0,3-5年,3,,硕士,图像识别、深度学习,深度学习,X光影像算法研究与开发及优化,C++编程、Python、Matlab、图像处理算法、深度学习框架、图像增强、图像分割、多模态图像配准,2024-11-04 ,2024-11
通信网络工程师,大连瑞祥会计有限公司,大连,nan,10000,12000,11000.0,1-3年,1,3,本科,云计算,云计算,负责通信网络系统规划、设计及维护工作,TCP/IP协议、网络性能测试、网络架构设计、通信设备配置、网络安全、项目管理,2024-11-21 ,2024-11
数据维护专员,河南驼人医疗器械集团有限公司,新乡,nan,4000,6000,5000.0,1-3年,2,,本科,大数据分析,大数据分析,负责财务数据维护与BI统计分析,BPM流程维护、BI数据分析、财务建模、Excel、数据收集、财务报表分析,2024-09-02 ,2024-09
行政出纳,上海万木春生物工程有限公司,无锡,新吴区,4000,6000,5000.0,3-5年,3,,大专,智能医疗,智能医疗,负责出纳、行政人事及文字协助工作,财务专业、团队合作、文字处理、出纳实务、行政管理,2024-11-29 ,2024-11
市场BD,上海上湖信息技术有限公司,杭州,上城区,10000,15000,12500.0,1-3年,1,3,不限,人工智能,人工智能,负责市场推广及地推陌拜工作,市场拓展能力、沟通能力、客户服务意识、金融分期服务、团队协作、外勤打卡,2024-01-02 ,2024-01
电商技术总监,昆仑数智科技有限责任公司,北京,昌平区,35000,50000,42500.0,10年以上,10,,硕士,云计算、大数据平台,大数据平台,负责电商技术规划与大数据云平台设计,云计算、微服务架构、容器技术、分布式系统、中台架构设计、混合云部署、大数据平台开发,2024-04-22 ,2024-04
解决方案经理（工业互联网方向）,中国联合网络通信有限公司湖南省分公司,益阳,nan,10000,15000,12500.0,3-5年,3,4,本科,大数据分析、云计算、人工智能,人工智能,工业互联网解决方案设计与实施,工业互联网解决方案设计、5G技术应用、云计算架构、大数据分析、售前技术支持、客户需求分析、项目方案规划,2024-06-24 ,2024-06
